"Tweets","Sentimen"
"cepet banget sampeknya kirim denpasar rumahku beda pulau pengemasan rapi aman banget semoga cocok","Positif"
"beli dikirim size gram beli berdua males ngurus komplenya semoga besok detail liat pesanan","Negatif"
"cair","Positif"
"wangi terjangkau","Positif"
"semoga cocok lumayan nunggu konfirmasi studio tropiknya sampe pembayaran dikonformasi untungnya layanan jasa kirim sicepat","Negatif"
"dapet warna kemasan nggak merah gambar kecewa","Negatif"
"paket diterima pengiriman lumayan cepet harga sesuai barang thankyou seller","Positif"
"recomended banget langganan inez bahan ringan meresap enakeun poko warna blush bagus bagus","Positif"
"gasempet divideo intinya pecah","Positif"
"cairr banget teksturnyaa dipake bleberan teruss pikmentid warnanya susahh makenya aplikaternya udah enak makasihjuga bonusnya","Negatif"
"bahannya adem nyaman banget","Positif"
"jahitan rapi","Negatif"
"teksturnya bener rich rich kalo sampe jadiin body cream saking muka keringetan kalo pake banget kalo dipake","Negatif"
"bagus palette rapi elegan imut","Positif"
"cabut samsek","Tral"
"pelayanan toko fast respon puas kecewa kurir sicepat cargo melempem minggu sampe pake tokopedia plus","Positif"
"bagus bahan ringan wajah seger","Positif"
"produk terima packing aman pengiriman moga cocok blom coba","Positif"
"nyoba pake scrub cocok banget mudah cocok","Positif"
"susah banget cari shade cocok bibirku bagus bnget bibirku gelap tebal kasih kesan elegan bibir keliatan jontor menor","Positif"
"pengemsan buble wrap tebel kardus gede penyok kualitas gausah raguin sihh","Negatif"
"kemasan rapi gimana eyeshadownya pecah","Positif"
"lamaa nyampenya","Negatif"
"barang thanks","Positif"
"panas dipake","Negatif"
"bocor dikasih bubble wrap","Negatif"
"kotaknya berbedu","Tral"
"serumnya tertutup rapat isinya tumpah botol sisa sedikitt doang sayang bangett","Negatif"
"alhamdulillah sesuai kaku banget susah ditarik","Positif"
"pengirimannya cepat barangnya cacat gentle cleanser aman cocok wajah kulit terhidrasi sehat lembut kusam","Positif"
"down unboxing ngidupin garis layar hilang semoga","Negatif"
"tang mentang promo kirim shade salah pengemasan chat keputihan untung diakalin pake foundi contour","Positif"
"best banget pakai cleanser gelnya lembut muka perih","Positif"
"lumayan menguning","Positif"
"balm tangan membentuk hati warna kulit cerah","Positif"
"sampenya banget pesen jumat siang sampenya selasa sore produk diragukan","Positif"
"paket kemasan penyok solasinya keluatan habis dibuka bubble wrapnya udah kebuka pengemasan buruk","Negatif"
"kecewa salah shide respon chat","Negatif"
"ampun penyok","Negatif"
"pecah nunggu kecewa banget","Negatif"
"sabunnya bagus bikin kulit muka kering ketarik pakai cocok harga ekonomis produk berkualitas","Negatif"
"wanginya anais anais","Positif"
"awet warna bagus susah blend menggumpal bikin bibir kering susah ombre lips terima kasih semoga masukannua diterima","Positif"
"barang sesuai deskripsi harga bersaing pengiriman cepat seller responsif","Positif"
"cocok jenis kulit performa tekstur krim pengiriman semoga cocok","Negatif"
"nyoba semoga cocok komplain pengiriman pengirimannya semoga diperbaiki responnya cepat komplain pengir","Negatif"
"harga murah beli barang bungkus rapih pengiriman standar thank","Positif"
"maaf kasih bintang sesuai info bonus dapatkan order malam hadiah kardus bedak donk sesuai info cantumkan terimakasih","Negatif"
"pengiriman banget","Tral"
"produk kondisi ditrrima packing bagus produk coba muka dibersihkan perih wajah jenis kulit normal kering","Positif"
"udah pengen beli mousse rose discount lgsg beli varian sukaakk","Negatif"
"gambarnya warna merah merah keitem","Positif"
"pengiriman terlambat minggu seller responsif berinisiatif update pengiriman chat informa","Positif"
"foto produknya menjebak wkwk baca deskripsi memperhatikan foto produk kemarin terburu skip kaget paket","Positif"
"lihat joroknya anteraja sekotor paket kurirnya nyemplung sawah paket anteraja april selesai urus","Negatif"
"menurutku bikin warna pinknya kaya stain liptint permanen bikin ceraahh wort semelembab cumaa menurutku bagus bagus ajah","Positif"
"nyoba semoga cocok","Tral"
"lipnya lengket dioles tipis jatuhnya tebel dibibir baunya enak","Negatif"
"seller fast response packaging aman lucu banget recommended","Positif"
"dikirim amanah banget toko smga dibls allah","Negatif"
"suka warna chico brownnya natural tekstur keras dicoba swatch punggung tangan awet seharian kena dipake mata beneran","Positif"
"maaf testi barangnya sampe kmrin puas bnget ringan lipmatte","Negatif"
"white cast susah meresap","Positif"
"barang diterima paketnya dibungkus double respon cepat","Positif"
"terima kasih warnanya suka warna defaultnya hitam","Positif"
"warna sesuai ketahanan tekstur check produk tetiba produk dikirim medan like what cancel produk harga produk dikirim medan ongkirnya confirmation seller doesnt help anything please watch kalo pesen pdhl mall","Negatif"
"sabun andalan keluarga bikin kulit kering aman kulit sensitive","Positif"
"patah dipakai","Positif"
"coba smoga cocok langganan nnti bintang","Positif"
"pengiriman melebihi batas pengiriman","Tral"
"what produk paket pengembalian dana ditolak kecewa shopee berdiri belanja skrg berfikir pindah hati penjual amanah","Negatif"
"kali kasih bintang belanja kecewa barang kosong pemberitahuan admin toko sekelas official store berkali kali solusi karna bayar pakai sistem detik barang dikirim kirim","Negatif"
"pakai lihat takut cocok","Negatif"
"jujur drying banget warnanya cantik super keringg","Positif"
"mascara waterproof luntur","Positif"
"minus kacamata photocromic kaca mata gelap recommended seller","Positif"
"terimakasih orderan sesuai bonus","Positif"
"barang berfungsi","Positif"
"dikasi custard kirim creampuff","Positif"
"lumayan kacamatanya keren","Positif"
"tekstur lembut ringan bibir cocok bibir cium husbu performa cantik bangett cantik bangett sumpah enak banget dipakenya bibir bibir gelap cerah ëƒìµ rekomended banget warna perpaduan ombre bagus banget warna kulit sawo matang pake lgsg cantik bibirku","Positif"
"pengiriman ekpedisinya cepat barang dikemas aman rapih barang asli sesuai gambar terimakasih seller","Negatif"
"expnya sisa","Negatif"
"barang sesuai deskripsi paking rapi","Positif"
"gatau pemakaian rutin muncul jerawat bnyk","Negatif"
"shade mlbb terfavorit tahan dipake makan langsung bubar okay retouch","Negatif"
"sedih dapet kardus gakaruan gitu produknya aman","Negatif"
"produk sesuai pengiriman cepat aman","Positif"
"barang pengiriman barang datangnya","Tral"
"mahal harganya","Positif"
"rambut keset pakai conditioner","Positif"
"acara patah","Positif"
"baguss warna blushnya cangtip bgtt","Positif"
"performa lumayan cocok lumayan tekstur bagus lumayan bagus cuman salah shade","Negatif"
"prosesnya cepet nyampe cepet wanginya cepet ilang untung diskon","Positif"
"barang kotor","Negatif"
"ringan warna okee tahan thnk","Positif"
"banget nyampenya udah","Negatif"
"tolong packaging diperbaiki masker penyok terbuka semoga kedepan kuat masker terlindungi","Negatif"
"tekstur warna pigmentasi pesan produk esqa produk laneige trus konfirmasi diretur barang dikirim proses pengembalian admin membalas chat","Negatif"
"pake udah rusak","Positif"
"cocok kuku tekstur kental performa good salah kirim blue silver cocok apply","Positif"
"barang bermasalah sesuai deskripsi kurirnya ekspedinya estimasi","Negatif"
"kirain isinya trnyata itupun lipgloss bening","Negatif"
"barang diterima kondisi terima kasih","Tral"
"pembelian puas pembelian pengiriman tegal isinya penuh","Positif"
"membeli himalaya face wash kecewa banget orderan kali langganan gapernah dapet","Positif"
"bibir kering","Positif"
"nyoba semoga cocok","Negatif"
"barang tujuan sesuai pesanan terimakasih","Positif"
"kaleng susu penyok susunya amanâ","Negatif"
"barang sesuai pesanan pengiriman cepatt seller ramah thank","Positif"
"teksturnya ringan nggak lengket note pemakaian wajahku menimbulkan komedo know sure product","Positif"
"buah kelapa buah kedongdong aman selamat mantap","Tral"
"pengiriman bonus permen terimakasih kali cobain semoga cocok","Negatif"
"baguss bangett","Positif"
"kemasan tips pengguna expdisi antera jelek banget pengalaman penggunaan expedisi antera jelek bangt produk expdisi bikin rada kesal mnggu","Negatif"
"produk murahan cepat rusak","Positif"
"ukuran chart sesuai aslinya kebesaran","Positif"
"sorry cocok produk","Positif"
"berasnya bagus kerikil beras bubuk patah","Positif"
"cocok dimuka adem banget","Tral"
"tenan maszeh","Tral"
"pinky glittery","Positif"
"kulit wajah cocok bruntusan kemerahan pakai rangkaian trueve lihat cocok coba disaya cocok","Negatif"
"semudah dibayangkan pakai glove usaha extra gosoknya daki","Negatif"
"pengiriman lambat minggu packing buruk complain tujukan jasa pengiriman sedialan layanan complain jasa pengiriman tolo","Positif"
"pesan bedak cushion komplen susoh bales","Positif"
"cocok dimuka pilihan shade kali reorder","Negatif"
"lengket diakali hasilnya pakai lipbalm lipgloss lipcream glossy lengkep blend","Positif"
"berpengaruh apapa","Tral"
"kirim cepat produk rembes dalem bubble wrap kedepan harap diperbaiki","Positif"
"produk sesuai deskripsi sayang pengiriman admin respon tanyai pengiriman barang","Negatif"
"barang terima alasan penjual barang hilang penjual mengecek langsung kurir kurir melengkapi","Negatif"
"minggu pake lumayan ketarik tonernya enak","Negatif"
"bocor tube barangnya murah customer pesan dijaga kepercayaan citra brand packing respect product","Positif"
"manfaat kuku tips pengguna oles efek warna baguss","Positif"
"pesannya buku juki spongebob buku titipo banget beda barangnya","Positif"
"kemasan bagus banget tahan pecah mengkilap mewah warna cerah ringan","Positif"
"pengalaman penggunaan lembut bagus tahan profil kecantikan bagus muka berminyak","Positif"
"penjual ribet","Tral"
"proses pengemasan banget order nyampe pengiriman sellernya produknya sesuai claimnya make over","Negatif"
"pengguna kualitas udah pake coba bener kualitas suara sesuai harga","Negatif"
"pengiriman pengiriman toko","Positif"
"kewcil","Tral"
"udah pakai aloe vera dinginin kulit karna sunburn coba jadiin pelembab muka nggak lengket cepat meresap","Positif"
"dipake lengket kaya permen karet","Negatif"
"batalkan kirim aneh","Negatif"
"cocok cream safi beli official store packing aman pengiriman cepat","Negatif"
"scoop nyaa hahaa semoga membantu proses aammiinn","Positif"
"packing aman pengiriman lumayan harga terjangkau warnanya cakep","Positif"
"telat pengiriman estimasi tanggal paket konfirmasi nulis gatau paket","Negatif"
"bungkusnya robek semoga kedepannya dicek teliti dikirim","Negatif"
"beli boost bayi efektif enggk beli nambah kuantitas kualifitas","Positif"
"material bagus original talinya","Positif"
"warna keputihan kualitas","Positif"
"udah cocok pakai produk whitelab coba bakuciol smoga cocok makasih tokped seller","Positif"
"kemasannya mantap packaging aman warna kulit cerah","Positif"
"puass banget lihat review pikir dicoba berharap sebagus guyur badan shower hangat gosok","Positif"
"pengirimanny produkny suka","Positif"
"respon seller lumayan barang kunjung dibutuhkan ekspedisi lambat","Tral"
"bibir cocok stain bibirku kering pakai lembab ringan pemakaian bibirku","Positif"
"beneran lemak ndak kebawa sabun dibasmi beli harga versahabat packing aman mincuu laaff","Positif"
"beli toko","Positif"
"bingung make basahi angkat komedo","Positif"
"terlambat datangnya","Tral"
"expired bentar sebelom kirim dicek","Negatif"
"salah kirim beli item powder dikirimnya model beda kemasan","Negatif"
"barang belom dipake nggak nyala service seminggu nggak kabar tunggu barang selesai diservice update review","Negatif"
"serum terima terbuka tutupnya udah tumpah tinggal kali tolong periksa penjual ketepatan tutupnya klau","Negatif"
"nyoba semoga cocok","Tral"
"kering saay","Tral"
"bagus barang pelayanan jelek bbgt tiada tanding psen kirim okela bkin jadwal perkiraan kirim pesen mnta ubah alamat gbsa ajuin batalin diacc digubris etikat ngomongin pembeli toko situ kirim service ever beli","Negatif"
"semoga rambut sehat","Tral"
"kecewa kirim barang paket pembelian komplain ketemu winwin solution hasil membatalkan komplain","Negatif"
"barang cepat produk dipake reaksi seller bgtt dicancel karna salah alamat dibatalinn proses","Negatif"
"pesan dikirim toko nyampe mohon ditingkatkan service deliverynya kalo kualitas bagus","Negatif"
"kardus bubble wrap keamanan barang pesanan keterang barang dijual terpisah bubble wrap plaskik kardusnya kemana","Negatif"
"barang sesuai warna bagus","Positif"
"packaging aman plastikk doang dann produknya kotorr luarnya","Negatif"
"tutupnya dibuka nyoba bernagai direndam panas handuk diminyakin keras","Negatif"
"kecewa mesannya kuku datangnya sumplemen makan mengecewakan","Negatif"
"hasil sesuai diinfo","Negatif"
"sesuai pesanan packing rapi aman cepat","Positif"
"mantap pesanan diterima overall puas next time order","Negatif"
